Transfer ID,Transfer Value,Sender ID,Receiver ID,Comment,Factor,SCW new of receiver,SCW old of receiver,Topic ID
311,100,124,124, ,1,1,0,1
312,100,125,125, ,1,1,0,1
313,100,124,124, ,1,1,1,7
314,-1,110,123,For your Asian food in Munich post :-),0.005,1,1,2
315,1,123,110,For your Asian food in Munich post :-),0.005,1.005,1,2
316,-1,35,123,For being a crazy power-user of this course social network^^.,0.005,1,1,6
317,1,123,35,For being a crazy power-user of this course social network^^.,0.005,1.155,1.15,6
318,-20,35,73,For letting me use him as a survey subject,0.005,1,1,6
319,20,73,35,For letting me use him as a survey subject,0.005,1.255,1.155,6
320,100,126,126, ,1,1,0,1
321,-50,72,73,survey,0.005,1,1,6
322,50,73,72,survey,0.005,1.38,1.13,6
323,100,127,127, ,1,1,0,1
324,-50,106,72,<3,0.005,1,1,4
325,50,72,106,<3,0.005,1.25,1,4
326,100,128,128, ,1,1,0,1
327,100,129,129, ,1,1,0,1
328,100,130,130, ,1,1,0,1
329,100,130,130, ,1,1,1,7
330,100,129,129, ,1,1,1,7
331,100,131,131, ,1,1,0,1
332,100,132,132, ,1,1,0,1
333,-50,29,73,For the Survey,0.005,1,1,6
334,50,73,29,For the Survey,0.005,1.25,1,6
335,100,126,126, ,1,1,1,7
336,100,133,133, ,1,1,0,1
337,100,134,134, ,1,1,0,1
338,100,135,135, ,1,1,0,1
339,100,136,136, ,1,1,0,1
340,100,133,133, ,1,1,1,7
341,100,137,137, ,1,1,0,1
342,100,101,101, ,1,1,1,7
343,-10,118,101,Found an interesting series thanks to your blog entry,0.005,1,1,6
344,10,101,118,Found an interesting series thanks to your blog entry,0.005,1.05,1,6
345,100,138,138, ,1,1,0,1
346,100,34,34, ,1,1,1,7
347,100,139,139, ,1,1,0,1
348,100,140,140, ,1,1,0,1
349,100,136,136, ,1,1,1,7
350,-50,140,136,For your honesty ;),0.005,1,1,4
351,50,136,140,For your honesty ;),0.005,1.25,1,4
352,-50,34,136,Very healthy life style (Ghee) . ;),0.005,1,1,3
353,50,136,34,Very healthy life style (Ghee) . ;),0.005,1.25,1,3
354,-50,72,136,Socially active.,0.005,1,1,5
355,50,136,72,Socially active.,0.005,1.255,1.005,5
356,100,140,140, ,1,1,1,7
357,100,141,141, ,1,1,0,1
358,100,139,139, ,1,1,1,7
359,-50,136,140,Hi I transferred you credit for trust.,0.005,1.25,1.25,4
360,50,140,136,Hi I transferred you credit for trust.,0.005,1.3125,1,4
361,-60,34,140,Hi I transferred you credits for trust .,0.005,1.25,1.25,4
362,60,140,34,Hi I transferred you credits for trust .,0.005,1.375,1,4
363,-50,139,140,Hi I transferred you credit.,0.005,1,1,2
